,locus_tag,name,location,old_locus_tag,product,note,start,end
42,ECB_RS00240,,[47382:48324](+),ECB_00046,electron transfer flavoprotein subunit alpha/FixB family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,47382,48324
43,ECB_RS00245,,[48374:49661](+),ECB_00047,FAD-dependent oxidoreductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,48374,49661
44,ECB_RS00250,fixX,[49657:49945](+),ECB_00048,ferredoxin-like protein FixX,Derived by automated computational analysis using gene prediction method: Protein Homology.,49657,49945
45,ECB_RS00255,,[50001:51333](+),ECB_00049,MFS transporter,Derived by automated computational analysis using gene prediction method: Protein Homology.,50001,51333
46,ECB_RS00260,kefF,[51440:51971](+),ECB_00050,glutathione-regulated potassium-efflux system oxidoreductase KefF,Derived by automated computational analysis using gene prediction method: Protein Homology.,51440,51971
47,ECB_RS00265,kefC,[51963:53826](+),ECB_00051,glutathione-regulated potassium-efflux system protein KefC,Derived by automated computational analysis using gene prediction method: Protein Homology.,51963,53826
48,ECB_RS00270,folA,[54017:54497](+),ECB_00052,type 3 dihydrofolate reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,54017,54497
49,ECB_RS00275,apaH,[54574:55417](-),ECB_00053,bis(5'-nucleosyl)-tetraphosphatase (symmetrical),Derived by automated computational analysis using gene prediction method: Protein Homology.,55417,54574
50,ECB_RS00280,apaG,[55423:55801](-),ECB_00054,Co2+/Mg2+ efflux protein ApaG,Derived by automated computational analysis using gene prediction method: Protein Homology.,55801,55423
51,ECB_RS00285,rsmA,[55803:56625](-),ECB_00055,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA,Derived by automated computational analysis using gene prediction method: Protein Homology.,56625,55803
52,ECB_RS00290,,[56621:57611](-),ECB_00056,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,Derived by automated computational analysis using gene prediction method: Protein Homology.,57611,56621
53,ECB_RS00295,surA,[57610:58897](-),ECB_00057,peptidylprolyl isomerase SurA,Derived by automated computational analysis using gene prediction method: Protein Homology.,58897,57610
54,ECB_RS00300,lptD,[58949:61304](-),ECB_00058,LPS assembly protein LptD,Derived by automated computational analysis using gene prediction method: Protein Homology.,61304,58949
55,ECB_RS00305,djlA,[61558:62374](+),ECB_00059,co-chaperone DjlA,Derived by automated computational analysis using gene prediction method: Protein Homology.,61558,62374
56,ECB_RS00310,rluA,[62490:63150](-),ECB_00060,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,Derived by automated computational analysis using gene prediction method: Protein Homology.,63150,62490
57,ECB_RS00315,rapA,[63161:66068](-),ECB_00061,RNA polymerase-associated protein RapA,Derived by automated computational analysis using gene prediction method: Protein Homology.,66068,63161
58,ECB_RS00320,polB,[66232:68584](-),ECB_00062,DNA polymerase II,Derived by automated computational analysis using gene prediction method: Protein Homology.,68584,66232
59,ECB_RS00325,araD,[68658:69354](-),ECB_00063,L-ribulose-5-phosphate 4-epimerase,Derived by automated computational analysis using gene prediction method: Protein Homology.,69354,68658
60,ECB_RS00330,araA,[69638:71141](-),ECB_00064,L-arabinose isomerase,Derived by automated computational analysis using gene prediction method: Protein Homology.,71141,69638
61,ECB_RS00335,araB,[71151:72852](-),ECB_00065,ribulokinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,72852,71151
62,ECB_RS00340,araC,[73190:74069](+),ECB_00066,arabinose operon transcriptional regulator AraC,Derived by automated computational analysis using gene prediction method: Protein Homology.,73190,74069
63,ECB_RS00345,,[74154:74919](+),ECB_00067,DedA family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,74154,74919
64,ECB_RS00350,thiQ,[75032:75731](-),ECB_00068,thiamine ABC transporter ATP-binding protein ThiQ,Derived by automated computational analysis using gene prediction method: Protein Homology.,75731,75032
65,ECB_RS00355,thiP,[75714:77325](-),ECB_00069,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,Derived by automated computational analysis using gene prediction method: Protein Homology.,77325,75714
66,ECB_RS00360,thiB,[77300:78284](-),ECB_00070,thiamine ABC transporter substrate binding subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,78284,77300
67,ECB_RS00365,,[78447:80103](-),ECB_00071,HTH-type transcriptional regulator SgrR,Derived by automated computational analysis using gene prediction method: Protein Homology.,80103,78447
68,ECB_RS00370,sgrT,[80191:80323](+),,glucose uptake inhibitor SgrT,Derived by automated computational analysis using gene prediction method: Protein Homology.,80191,80323
69,ECB_RS00375,setA,[80424:81603](+),ECB_00072,sugar efflux transporter SetA,Derived by automated computational analysis using gene prediction method: Protein Homology.,80424,81603
70,ECB_RS00380,leuD,[81651:82257](-),ECB_00073,3-isopropylmalate dehydratase small subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,82257,81651
71,ECB_RS00385,leuC,[82267:83668](-),ECB_00074,3-isopropylmalate dehydratase large subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,83668,82267
72,ECB_RS00390,leuB,[83670:84762](-),ECB_00075,3-isopropylmalate dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,84762,83670
73,ECB_RS00395,leuA,[84761:86333](-),ECB_00076,2-isopropylmalate synthase,Derived by automated computational analysis using gene prediction method: Protein Homology.,86333,84761
74,ECB_RS00400,leuL,[86425:86512](-),ECB_00077,leu operon leader peptide,Derived by automated computational analysis using gene prediction method: Protein Homology.,86512,86425
75,ECB_RS00405,leuO,[87171:88116](+),ECB_00078,transcriptional regulator LeuO,Derived by automated computational analysis using gene prediction method: Protein Homology.,87171,88116
76,ECB_RS00410,ilvI,[88433:90158](+),ECB_00079,acetolactate synthase 3 large subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,88433,90158
77,ECB_RS00415,ilvN,[90160:90652](+),ECB_00080,acetolactate synthase small subunit,Derived by automated computational analysis using gene prediction method: Protein Homology.,90160,90652
78,ECB_RS00420,,[90663:90750](+),,fruR/shl operon leader peptide,Derived by automated computational analysis using gene prediction method: Protein Homology.,90663,90750
79,ECB_RS00425,cra,[90831:91836](+),ECB_00081,catabolite repressor/activator,Derived by automated computational analysis using gene prediction method: Protein Homology.,90831,91836
80,ECB_RS00430,,[92437:92896](+),ECB_00082,division/cell wall cluster transcriptional repressor MraZ,Derived by automated computational analysis using gene prediction method: Protein Homology.,92437,92896
81,ECB_RS00435,rsmH,[92897:93839](+),ECB_00083,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,Derived by automated computational analysis using gene prediction method: Protein Homology.,92897,93839
82,ECB_RS00440,ftsL,[93835:94201](+),ECB_00084,cell division protein FtsL,Derived by automated computational analysis using gene prediction method: Protein Homology.,93835,94201
83,ECB_RS00445,,[94216:95983](+),ECB_00085,peptidoglycan glycosyltransferase FtsI,Derived by automated computational analysis using gene prediction method: Protein Homology.,94216,95983
84,ECB_RS00450,murE,[95969:97457](+),ECB_00086,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",Derived by automated computational analysis using gene prediction method: Protein Homology.,95969,97457
85,ECB_RS00455,murF,[97453:98812](+),ECB_00087,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,97453,98812
86,ECB_RS00460,mraY,[98805:99888](+),ECB_00088,phospho-N-acetylmuramoyl-pentapeptide- transferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,98805,99888
87,ECB_RS00465,murD,[99890:101207](+),ECB_00089,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,99890,101207
88,ECB_RS00470,ftsW,[101206:102451](+),ECB_00090,cell division protein FtsW,Derived by automated computational analysis using gene prediction method: Protein Homology.,101206,102451
89,ECB_RS00475,murG,[102447:103515](+),ECB_00091,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,102447,103515
90,ECB_RS00480,murC,[103568:105044](+),ECB_00092,UDP-N-acetylmuramate--L-alanine ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,103568,105044
91,ECB_RS00485,,[105036:105957](+),ECB_00093,D-alanine--D-alanine ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,105036,105957
92,ECB_RS00490,ftsQ,[105958:106789](+),ECB_00094,cell division protein FtsQ,Derived by automated computational analysis using gene prediction method: Protein Homology.,105958,106789
93,ECB_RS00495,ftsA,[106785:108048](+),ECB_00095,cell division protein FtsA,Derived by automated computational analysis using gene prediction method: Protein Homology.,106785,108048
94,ECB_RS00500,ftsZ,[108108:109260](+),ECB_00096,cell division protein FtsZ,Derived by automated computational analysis using gene prediction method: Protein Homology.,108108,109260
95,ECB_RS00505,lpxC,[109360:110278](+),ECB_00097,UDP-3-O-acyl-N-acetylglucosamine deacetylase,Derived by automated computational analysis using gene prediction method: Protein Homology.,109360,110278
96,ECB_RS00510,secM,[110508:111021](+),ECB_00098,secA regulator SecM,Derived by automated computational analysis using gene prediction method: Protein Homology.,110508,111021
97,ECB_RS00515,secA,[111082:113788](+),ECB_00099,preprotein translocase subunit SecA,Derived by automated computational analysis using gene prediction method: Protein Homology.,111082,113788
98,ECB_RS00520,mutT,[113847:114237](+),ECB_00100,8-oxo-dGTP diphosphatase MutT,Derived by automated computational analysis using gene prediction method: Protein Homology.,113847,114237
99,ECB_RS00530,yacG,[114452:114650](-),ECB_00101,DNA gyrase inhibitor YacG,Derived by automated computational analysis using gene prediction method: Protein Homology.,114650,114452
100,ECB_RS00535,zapD,[114659:115403](-),ECB_00102,cell division protein ZapD,Derived by automated computational analysis using gene prediction method: Protein Homology.,115403,114659
101,ECB_RS00540,coaE,[115402:116023](-),ECB_00103,dephospho-CoA kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,116023,115402
102,ECB_RS00545,guaC,[116247:117291](+),ECB_00104,GMP reductase,Derived by automated computational analysis using gene prediction method: Protein Homology.,116247,117291
103,ECB_RS00550,hofC,[117325:118528](-),ECB_00105,protein transport protein HofC,Derived by automated computational analysis using gene prediction method: Protein Homology.,118528,117325
104,ECB_RS00555,gspE,[118517:119903](-),ECB_00106,type II secretion system protein GspE,Derived by automated computational analysis using gene prediction method: Protein Homology.,119903,118517
105,ECB_RS00560,ppdD,[119912:120353](-),ECB_00107,prepilin peptidase-dependent pilin,Derived by automated computational analysis using gene prediction method: Protein Homology.,120353,119912
106,ECB_RS00570,nadC,[120555:121449](-),ECB_00108,carboxylating nicotinate-nucleotide diphosphorylase,Derived by automated computational analysis using gene prediction method: Protein Homology.,121449,120555
107,ECB_RS00575,ampD,[121536:122088](+),ECB_00109,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",Derived by automated computational analysis using gene prediction method: Protein Homology.,121536,122088
108,ECB_RS00580,ampE,[122084:122939](+),ECB_00110,beta-lactamase regulator AmpE,Derived by automated computational analysis using gene prediction method: Protein Homology.,122084,122939
109,ECB_RS00585,aroP,[122981:124352](-),ECB_00111,aromatic amino acid transporter AroP,Derived by automated computational analysis using gene prediction method: Protein Homology.,124352,122981
110,ECB_RS00590,pdhR,[124895:125660](+),ECB_00112,pyruvate dehydrogenase complex transcriptional repressor PdhR,Derived by automated computational analysis using gene prediction method: Protein Homology.,124895,125660
111,ECB_RS00595,aceE,[125820:128484](+),ECB_00113,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",Derived by automated computational analysis using gene prediction method: Protein Homology.,125820,128484
112,ECB_RS00600,aceF,[128498:130391](+),ECB_00114,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,128498,130391
113,ECB_RS00605,lpdA,[130715:132140](+),ECB_00115,dihydrolipoyl dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,130715,132140
114,ECB_RS00610,,[132210:134064](-),ECB_00116,DUF3300 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,134064,132210
115,ECB_RS00615,acnB,[134418:137016](+),ECB_00117,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,Derived by automated computational analysis using gene prediction method: Protein Homology.,134418,137016
116,ECB_RS00620,,[137190:137553](+),ECB_00118,YacL family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,137190,137553
117,ECB_RS00625,speD,[137590:138385](-),ECB_00119,adenosylmethionine decarboxylase,Derived by automated computational analysis using gene prediction method: Protein Homology.,138385,137590
118,ECB_RS00630,speE,[138400:139267](-),ECB_00120,polyamine aminopropyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,139267,138400
119,ECB_RS00635,,[139372:139720](-),ECB_00121,YacC family pilotin-like protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,139720,139372
120,ECB_RS00640,cueO,[139885:141436](+),ECB_00122,multicopper oxidase CueO,Derived by automated computational analysis using gene prediction method: Protein Homology.,139885,141436
121,ECB_RS00645,,[141637:144028](-),ECB_00123,pyrroloquinoline quinone-dependent dehydrogenase,Derived by automated computational analysis using gene prediction method: Protein Homology.,144028,141637
122,ECB_RS00650,,[144233:144770](+),ECB_00124,hypoxanthine phosphoribosyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,144233,144770
123,ECB_RS00655,,[144810:145473](-),ECB_00125,carbonate dehydratase,Derived by automated computational analysis using gene prediction method: Protein Homology.,145473,144810
124,ECB_RS00660,,[145581:146508](+),ECB_00126,ABC transporter ATP-binding protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,145581,146508
125,ECB_RS00665,,[146504:147275](+),ECB_00127,ABC transporter permease,Derived by automated computational analysis using gene prediction method: Protein Homology.,146504,147275
126,ECB_RS00670,,[147379:147820](+),ECB_00128,PTS sugar transporter subunit IIA,Derived by automated computational analysis using gene prediction method: Protein Homology.,147379,147820
127,ECB_RS00675,,[147883:149113](+),ECB_00129,polysaccharide deacetylase family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,147883,149113
128,ECB_RS00680,panD,[149116:149497](-),ECB_00130,aspartate 1-decarboxylase,Derived by automated computational analysis using gene prediction method: Protein Homology.,149497,149116
129,ECB_RS00685,,[149770:150673](+),ECB_00131,Rpn family recombination-promoting nuclease/putative transposase,Derived by automated computational analysis using gene prediction method: Protein Homology.,149770,150673
130,ECB_RS00690,panC,[150746:151598](-),ECB_00132,pantoate--beta-alanine ligase,Derived by automated computational analysis using gene prediction method: Protein Homology.,151598,150746
131,ECB_RS00695,panB,[151609:152404](-),ECB_00133,3-methyl-2-oxobutanoate hydroxymethyltransferase,Derived by automated computational analysis using gene prediction method: Protein Homology.,152404,151609
132,ECB_RS00700,,[152516:153791](-),ECB_00134,fimbrial-like adhesin,Derived by automated computational analysis using gene prediction method: Protein Homology.,153791,152516
133,ECB_RS00705,,[153843:154440](-),ECB_00135,fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,154440,153843
134,ECB_RS00710,yadL,[154466:155069](-),ECB_00136,fimbrial-like protein YadL,Derived by automated computational analysis using gene prediction method: Protein Homology.,155069,154466
135,ECB_RS00715,,[155083:155653](-),ECB_00137,fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,155653,155083
136,ECB_RS00720,htrE,[155669:158270](-),ECB_00138,Yad fimbria usher protein HtrE,Derived by automated computational analysis using gene prediction method: Protein Homology.,158270,155669
137,ECB_RS00725,,[158304:159045](-),ECB_00139,fimbrial chaperone,Derived by automated computational analysis using gene prediction method: Protein Homology.,159045,158304
138,ECB_RS00730,,[159149:159734](-),ECB_00140,fimbrial protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,159734,159149
139,ECB_RS00735,folK,[160103:160583](-),ECB_00141,2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,160583,160103
140,ECB_RS00740,pcnB,[160579:161998](-),ECB_00142,polynucleotide adenylyltransferase PcnB,Derived by automated computational analysis using gene prediction method: Protein Homology.,161998,160579
141,ECB_RS00745,gluQRS,[162036:162963](-),ECB_00143,tRNA glutamyl-Q(34) synthetase GluQRS,Derived by automated computational analysis using gene prediction method: Protein Homology.,162963,162036
142,ECB_RS00750,,[162999:163455](-),ECB_00144,RNA polymerase-binding transcription factor DksA,Derived by automated computational analysis using gene prediction method: Protein Homology.,163455,162999
143,ECB_RS00755,sfsA,[163632:164337](-),ECB_00145,DNA/RNA nuclease SfsA,Derived by automated computational analysis using gene prediction method: Protein Homology.,164337,163632
144,ECB_RS00760,thpR,[164351:164882](-),ECB_00146,"RNA 2',3'-cyclic phosphodiesterase",Derived by automated computational analysis using gene prediction method: Protein Homology.,164882,164351
145,ECB_RS00765,hrpB,[164955:167385](+),ECB_00147,ATP-dependent helicase HrpB,Derived by automated computational analysis using gene prediction method: Protein Homology.,164955,167385
146,ECB_RS00775,mrcB,[167580:170106](+),ECB_00148,bifunctional glycosyl transferase/transpeptidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,167580,170106
147,ECB_RS00780,fhuA,[170325:172569](+),ECB_00149,ferrichrome porin FhuA,Derived by automated computational analysis using gene prediction method: Protein Homology.,170325,172569
148,ECB_RS00785,fhuC,[172619:173417](+),ECB_00150,Fe3+-hydroxamate ABC transporter ATP-binding protein FhuC,Derived by automated computational analysis using gene prediction method: Protein Homology.,172619,173417
149,ECB_RS00790,fhuD,[173416:174307](+),ECB_00151,Fe(3+)-hydroxamate ABC transporter substrate-binding protein FhuD,Derived by automated computational analysis using gene prediction method: Protein Homology.,173416,174307
150,ECB_RS00795,fhuB,[174303:176286](+),ECB_00152,Fe(3+)-hydroxamate ABC transporter permease FhuB,Derived by automated computational analysis using gene prediction method: Protein Homology.,174303,176286
151,ECB_RS00800,,[176443:177724](-),ECB_00153,"glutamate-1-semialdehyde 2,1-aminomutase",Derived by automated computational analysis using gene prediction method: Protein Homology.,177724,176443
152,ECB_RS00805,clcA,[177948:179370](+),ECB_00154,H(+)/Cl(-) exchange transporter ClcA,Derived by automated computational analysis using gene prediction method: Protein Homology.,177948,179370
153,ECB_RS25295,,[179393:179459](+),,protein YadW,Derived by automated computational analysis using gene prediction method: Protein Homology.,179393,179459
154,ECB_RS00810,erpA,[179451:179796](+),ECB_00155,iron-sulfur cluster insertion protein ErpA,Derived by automated computational analysis using gene prediction method: Protein Homology.,179451,179796
155,ECB_RS00815,,[179842:180466](-),ECB_00156,TRIC cation channel family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,180466,179842
156,ECB_RS00820,btuF,[180503:181304](-),ECB_00157,vitamin B12 ABC transporter substrate-binding protein BtuF,Derived by automated computational analysis using gene prediction method: Protein Homology.,181304,180503
157,ECB_RS00825,mtnN,[181296:181995](-),ECB_00158,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,181995,181296
158,ECB_RS00830,,[182078:183596](+),ECB_00159,dGTPase,Derived by automated computational analysis using gene prediction method: Protein Homology.,182078,183596
159,ECB_RS00835,degP,[183725:185150](+),ECB_00160,serine endoprotease DegP,Derived by automated computational analysis using gene prediction method: Protein Homology.,183725,185150
160,ECB_RS00840,,[185304:186462](+),ECB_00161,CdaR family transcriptional regulator,Derived by automated computational analysis using gene prediction method: Protein Homology.,185304,186462
161,ECB_RS00845,,[186550:186937](-),ECB_00162,DUF3461 family protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,186937,186550
162,ECB_RS25300,,[186982:187180](+),,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,186982,187180
163,ECB_RS00850,yaeI,[187098:187911](-),ECB_00163,phosphodiesterase YaeI,Derived by automated computational analysis using gene prediction method: Protein Homology.,187911,187098
164,ECB_RS00855,dapD,[187964:188789](-),ECB_00164,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",Derived by automated computational analysis using gene prediction method: Protein Homology.,188789,187964
165,ECB_RS00860,glnD,[188819:191492](-),ECB_00165,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,Derived by automated computational analysis using gene prediction method: Protein Homology.,191492,188819
166,ECB_RS00865,map,[191553:192348](-),ECB_00166,type I methionyl aminopeptidase,Derived by automated computational analysis using gene prediction method: Protein Homology.,192348,191553
167,ECB_RS00870,rpsB,[192715:193441](+),ECB_00167,30S ribosomal protein S2,Derived by automated computational analysis using gene prediction method: Protein Homology.,192715,193441
168,ECB_RS00875,tsf,[193698:194550](+),ECB_00168,elongation factor Ts,Derived by automated computational analysis using gene prediction method: Protein Homology.,193698,194550
169,ECB_RS00880,pyrH,[194696:195422](+),ECB_00169,UMP kinase,Derived by automated computational analysis using gene prediction method: Protein Homology.,194696,195422
170,ECB_RS00885,,[195713:196271](+),ECB_00170,ribosome recycling factor,Derived by automated computational analysis using gene prediction method: Protein Homology.,195713,196271
