,UNIQUE-ID,NAME,PRODUCT-NAME,SWISS-PROT-ID,REPLICON,START-BASE,END-BASE,SYNONYMS,SYNONYMS.1,SYNONYMS.2,SYNONYMS.3,GENE-CLASS,GENE-CLASS.1,GENE-CLASS.2,GENE-CLASS.3,ACCESSION-1,TRANSCRIPTION-DIRECTION,locus_tag,name,location,old_locus_tag,product,note,start,end,distance,overlap,ecocyc_gene_len,NCBI_gene_len
2224,GCQD-1677,yneF,predicted diguanylate cyclase,C6UHS4,CHROMOSOME-1,1578399,1577452,,,,,UNCLASSIFIED,,,,ECB_01479,-,ECB_RS07830,,[1577451:1578870](-),,GGDEF domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,1578870,1577451,472,947,947,1419
4060,GCQD-3037,ECB_02812,orf,C6UDK9,CHROMOSOME-1,3011560,3011267,,,,,,,,,ECB_02812,-,ECB_RS14870,,[<3011371:3011542](+),,IS110 family transposase,incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,3011371,3011542,464,171,293,171
3449,GCQD-703,ECB_00517,orf,C6UCF5,CHROMOSOME-1,558447,558112,,,,,,,,,ECB_00517,-,ECB_RS02710,,[<558376:558487](+),,tail fiber assembly protein,incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,558376,558487,446,71,335,111
2274,GCQD-2537,cysW,sulfate/thiosulfate transporter subunit,C6UMS2,CHROMOSOME-1,2469995,2469546,,,,,transport,UNCLASSIFIED,,,ECB_02323,-,ECB_RS12250,cysW,[2469545:2470421](-),,sulfate/thiosulfate ABC transporter permease CysW,Derived by automated computational analysis using gene prediction method: Protein Homology.,2470421,2469545,427,449,449,876
2993,GCQD-4443,insA-1,IS1 protein InsA,,CHROMOSOME-1,4522283,4522008,,,,,UNCLASSIFIED,,,,ECB_04181,-,ECB_RS22265,,[4521585:4522283](-),ECB_04180,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,4522283,4521585,423,275,275,698
1047,GCQD-691,insA-6,IS1 protein InsA,C6UAU2,CHROMOSOME-1,547644,547369,,,,,UNCLASSIFIED,,,,ECB_00505,-,ECB_RS02630,,[546946:547644](-),ECB_00504,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,547644,546946,423,275,275,698
1013,GCQD-4427,insA-1,IS1 protein InsA,,CHROMOSOME-1,4506054,4505779,,,,,UNCLASSIFIED,,,,ECB_04164,-,ECB_RS22165,,[4505356:4506054](-),ECB_04163,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,4506054,4505356,423,275,275,698
719,GCQD-2143,insA-14,IS1 protein InsA,C6UAU2,CHROMOSOME-1,2035038,2034763,,,,,UNCLASSIFIED,,,,ECB_01935,-,ECB_RS10260,,[2034340:2035038](-),ECB_01934,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,2035038,2034340,423,275,275,698
1822,GCQD-421,insA-5,IS1 protein InsA,C6UAU2,CHROMOSOME-1,262847,263122,,,,,UNCLASSIFIED,,,,ECB_00236,+,ECB_RS01240,,[262846:263544](+),ECB_00237,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,262846,263544,423,275,275,698
1878,GCQD-2867,insA-21,IS1 protein InsA,C6UAU2,CHROMOSOME-1,2822899,2822624,,,,,UNCLASSIFIED,,,,ECB_02647,-,ECB_RS13980,,[2822201:2822899](-),ECB_02646,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,2822899,2822201,423,275,275,698
3850,GCQD-201,insA-1,IS1 protein InsA,,CHROMOSOME-1,23346,23621,,,,,UNCLASSIFIED,,,,ECB_00023,+,ECB_RS00120,,[23345:24043](+),ECB_00024,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,23345,24043,423,275,275,698
1639,GCQD-2083,insA-13,IS1 protein InsA,C6UAU2,CHROMOSOME-1,1973327,1973602,,,,,UNCLASSIFIED,,,,ECB_01880,+,ECB_RS09950,,[1973326:1974024](+),ECB_01881,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,1973326,1974024,423,275,275,698
1844,GCQD-527,insA-5,IS1 protein InsA,C6UAU2,CHROMOSOME-1,377461,377186,,,,,UNCLASSIFIED,,,,ECB_00341,-,ECB_RS01790,,[376763:377461](-),ECB_00340,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,377461,376763,423,275,275,698
1838,GCQD-1572,insA-12,IS1 protein InsA,C6UAU2,CHROMOSOME-1,1460215,1460490,,,,,UNCLASSIFIED,,,,ECB_01372,+,ECB_RS07290,,[1460214:1460912](+),ECB_01373,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,1460214,1460912,423,275,275,698
3827,GCQD-2229,insA-15,IS1 protein InsA,C6UAU2,CHROMOSOME-1,2128655,2128930,,,,,UNCLASSIFIED,,,,ECB_02022,+,ECB_RS10685,,[2128654:2129352](+),ECB_02023,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,2128654,2129352,423,275,275,698
1837,GCQD-1316,insA-10,IS1 protein InsA,C6UAU2,CHROMOSOME-1,1193670,1193945,,,,,UNCLASSIFIED,,,,ECB_01116,+,ECB_RS05915,,[1193669:1194367](+),ECB_01117,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,1193669,1194367,423,275,275,698
3366,GCQD-4423,insA-7,KpLE2 phage-like element; IS1 repressor protein InsA,,CHROMOSOME-1,4503559,4503834,,,,,UNCLASSIFIED,,,,ECB_04160,+,ECB_RS25270,,[4503558:4504256](+),,IS1 family transposase,programmed frameshift; internal stop; Derived by automated computational analysis using gene prediction method: Protein Homology.,4503558,4504256,423,275,275,698
4198,GCQD-2664,insA-19,IS1 protein InsA,C6UAU2,CHROMOSOME-1,2618084,2618359,,,,,UNCLASSIFIED,,,,ECB_02451,+,ECB_RS12910,,[2618083:2618781](+),,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,2618083,2618781,423,275,275,698
185,GCQD-395,insA-2,IS1 protein InsA,,CHROMOSOME-1,241312,241587,,,,,UNCLASSIFIED,,,,ECB_00210,+,ECB_RS01120,,[241311:242009](+),ECB_00211,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,241311,242009,423,275,275,698
2337,GCQD-2730,insA-20,IS1 protein InsA,C6UAU2,CHROMOSOME-1,2682663,2682938,,,,,UNCLASSIFIED,,,,ECB_02513,+,ECB_RS13270,,[2682662:2683360](+),ECB_02514,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,2682662,2683360,423,275,275,698
1402,GCQD-2248,insA-16,IS1 protein InsA,C6UAU2,CHROMOSOME-1,2143776,2143501,,,,,UNCLASSIFIED,,,,ECB_02041,-,ECB_RS10760,,[2143078:2143776](-),ECB_02040,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,2143776,2143078,423,275,275,698
1376,GCQD-773,insA-2,IS1 protein InsA,,CHROMOSOME-1,634690,634415,,,,,UNCLASSIFIED,,,,ECB_00588,-,ECB_RS03060,,[633992:634690](-),ECB_00587,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,634690,633992,423,275,275,698
21,GCQD-4470,insA-28,IS1 protein InsA,C6UAU2,CHROMOSOME-1,4550734,4551009,,,,,UNCLASSIFIED,,,,ECB_04208,+,ECB_RS22430,,[4550733:4551431](+),ECB_04209,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,4550733,4551431,423,275,275,698
1422,GCQD-3049,insA-22,IS1 protein InsA,C6UAU2,CHROMOSOME-1,3024657,3024382,,,,,UNCLASSIFIED,,,,ECB_02824,-,ECB_RS14920,,[3023959:3024657](-),ECB_02823,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,3024657,3023959,423,275,275,698
1203,GCQD-757,insA-8,IS1 protein InsA,C6UAU2,CHROMOSOME-1,619829,619554,,,,,UNCLASSIFIED,,,,ECB_00572,-,ECB_RS02980,,[619131:619829](-),ECB_00571,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,619829,619131,423,275,275,698
2041,GCQD-500,insA-4,IS1 protein InsA,C6UAU2,CHROMOSOME-1,353976,353701,,,,,UNCLASSIFIED,,,,ECB_00314,-,ECB_RS01650,,[353278:353976](-),ECB_00313,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,353976,353278,423,275,275,698
1122,GCQD-2478,insA-18,IS1 protein InsA,C6UAU2,CHROMOSOME-1,2408154,2407879,,,,,UNCLASSIFIED,,,,ECB_02271,-,ECB_RS23940,,[2407456:2408154](-),ECB_02270,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,2408154,2407456,423,275,275,698
2057,GCQD-3719,insA-24,IS1 protein InsA,C6UAU2,CHROMOSOME-1,3741910,3741635,,,,,UNCLASSIFIED,,,,ECB_03485,-,ECB_RS18445,,[3741212:3741910](-),ECB_03484,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,3741910,3741212,423,275,275,698
1978,GCQD-2352,insA-17,IS1 protein InsA,C6UAU2,CHROMOSOME-1,2263452,2263177,,,,,UNCLASSIFIED,,,,ECB_02144,-,ECB_RS25510,,[2262754:2263452](-),ECB_02143,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,2263452,2262754,423,275,275,698
3230,GCQD-1443,insA-11,IS1 protein InsA,C6UAU2,CHROMOSOME-1,1322776,1323051,,,,,UNCLASSIFIED,,,,ECB_01243,+,ECB_RS06590,,[1322775:1323473](+),ECB_01244,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,1322775,1323473,423,275,275,698
3151,GCQD-3462,insA-23,IS1 protein InsA,C6UAU2,CHROMOSOME-1,3434174,3433899,,,,,UNCLASSIFIED,,,,ECB_03228,-,ECB_RS17075,,[3433476:3434174](-),ECB_03227,IS1-like element IS1A family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,3434174,3433476,423,275,275,698
1394,GCQD-731,insA-7,IS1 protein InsA,,CHROMOSOME-1,590267,589992,,,,,UNCLASSIFIED,,,,ECB_00546,-,ECB_RS23205,,[589569:590267](-),ECB_00545,IS1 family transposase,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,590267,589569,423,275,275,698
3585,GCQD-4411,ECB_04147,orf,C6UL53,CHROMOSOME-1,4490372,4490635,,,,,,,,,ECB_04147,+,ECB_RS24650,,[4490563:4490722](-),,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,4490722,4490563,422,72,263,159
1243,GCQD-3032,yeeU,antitoxin of the YeeV-YeeU toxin-antitoxin system,C6UDK4,CHROMOSOME-1,3008144,3009205,,,,,UNCLASSIFIED,,,,ECB_02807,+,ECB_RS14840,,[3008143:3008787](+),,antitoxin of toxin-antitoxin stability system,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,3008143,3008787,419,643,1061,644
3336,GCQD-981,yliL,predicted protein,,CHROMOSOME-1,845296,845565,,,,,,,,,ECB_00783,+,ECB_RS04175,mntS,[845493:845622](-),,manganase accumulation protein MntS,Derived by automated computational analysis using gene prediction method: Protein Homology.,845622,845493,398,72,269,129
183,GCQD-200,ECB_00022,orf,C6ULC1,CHROMOSOME-1,22912,22208,,,,,,,,,ECB_00022,-,ECB_RS00110,espX1,[22207:>23296](-),,type III secretion system effector EspX1,incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,23296,22207,385,704,704,1089
387,GCQD-1616,yncI,predicted protein,,CHROMOSOME-1,1505148,1505894,,,,,,,,,ECB_01416,+,ECB_RS07520,,[1505147:1506274](+),ECB_01416,ISAs1 family transposase,frameshifted; internal stop; Derived by automated computational analysis using gene prediction method: Protein Homology.,1505147,1506274,381,746,746,1127
378,GCQD-1629,yddK,predicted protein,C6UHM9,CHROMOSOME-1,1519865,1518909,,,,,,,,,ECB_01429,-,ECB_RS07575,,[1518534:1519865](-),,leucine-rich repeat domain-containing protein,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,1519865,1518534,375,956,956,1331
933,GCQD-2919,insF-5,putative transposase for IS3,C6UCX4,CHROMOSOME-1,2883130,2883936,,,,,UNCLASSIFIED,,,,ECB_02696,+,ECB_RS14255,,[2882773:2883936](+),ECB_02696,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,2882773,2883936,357,806,806,1163
1237,GCQD-1228,insF-1,putative transposase for IS3,C6UFD6,CHROMOSOME-1,1111375,1110560,,,,,UNCLASSIFIED,,,,ECB_01028,-,ECB_RS05445,,[1110559:1111722](-),ECB_01028,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1111722,1110559,348,815,815,1163
3646,GCQD-1648,yddV,putative diguanylate cyclase,C6UHP8,CHROMOSOME-1,1540739,1539696,,,,,UNCLASSIFIED,,,,ECB_01448,-,ECB_RS07675,dosC,[1539695:1541078](-),,diguanylate cyclase DosC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1541078,1539695,340,1043,1043,1383
3584,GCQD-4413,yis2,orf,C6UL55,CHROMOSOME-1,4493636,4492818,,,,,,,,,ECB_04149,-,ECB_RS22080,,[4492817:4493974](-),ECB_04149,IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,4493974,4492817,339,818,818,1157
3588,GCQD-4410,ECB_04146,orf,C6UL52,CHROMOSOME-1,4489417,4490256,,,,,,,,,ECB_04146,+,ECB_RS22065,,[4489088:4490256](+),ECB_04146,IS3-like element IS911 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,4489088,4490256,329,839,839,1168
1223,GCQD-4342,ytfA,predicted transcriptional regulator,C6UKY7,CHROMOSOME-1,4412767,4413093,,,,,UNCLASSIFIED,,,,ECB_04077,+,ECB_RS21700,,[4412445:4413093](+),,TetR/AcrR family transcriptional regulator,Derived by automated computational analysis using gene prediction method: Protein Homology.,4412445,4413093,322,326,326,648
118,GCQD-2116,ECB_01908,orf,C6UK24,CHROMOSOME-1,2008293,2008703,,,,,,,,,ECB_01908,+,ECB_RS25465,,[2008601:2008703](+),,DUF957 domain-containing protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,2008601,2008703,308,102,410,102
516,GCQD-2045,cutC,copper homeostasis protein,C6UJW4,CHROMOSOME-1,1937730,1937290,,,,,UNCLASSIFIED,,,,ECB_01845,-,ECB_RS09755,,[1937289:1938036](-),,copper homeostasis protein CutC,Derived by automated computational analysis using gene prediction method: Protein Homology.,1938036,1937289,307,440,440,747
1426,GCQD-1710,insF-3,IS3 element protein InsF,C6UH30,CHROMOSOME-1,1608278,1609144,tra5-2,,,,UNCLASSIFIED,,,,ECB_01512,+,ECB_RS08005,,[1607981:1609144](+),ECB_01512,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1607981,1609144,297,866,866,1163
1290,GCQD-1560,insF-2,IS3 element protein InsF,C6UH30,CHROMOSOME-1,1442997,1443863,tra5-1,,,,UNCLASSIFIED,,,,ECB_01360,+,ECB_RS07225,,[1442700:1443863](+),ECB_01360,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1442700,1443863,297,866,866,1163
2485,GCQD-1723,insF-4,IS3 element protein InsF,C6UHX0,CHROMOSOME-1,1615832,1616698,tra5-3,,,,UNCLASSIFIED,,,,ECB_01525,+,ECB_RS08065,,[1615535:1616698](+),ECB_01525,IS3-like element IS3 family transposase,programmed frameshift; Derived by automated computational analysis using gene prediction method: Protein Homology.,1615535,1616698,297,866,866,1163
289,GCQD-2196,yegZ,putative phage protein,C6UKN5,CHROMOSOME-1,2101488,2100709,,,,,UNCLASSIFIED,,,,ECB_01988,-,ECB_RS25490,,[2100708:>2101200](-),,phage late control D family protein,incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,2101200,2100708,289,491,779,492
866,GCQD-694,rzpD,DLP12 prophage; predicted murein endopeptidase,,CHROMOSOME-1,549576,550037,ybcT,,,,UNCLASSIFIED,,,,ECB_00508,+,ECB_RS24830,rzoD,[549795:549978](+),,prophage lysis lipoprotein RzoD,Derived by automated computational analysis using gene prediction method: Protein Homology.,549795,549978,278,183,461,183
3665,GCQD-4171,yjbI,conserved protein,C6UJR2,CHROMOSOME-1,4229887,4231215,sgdG?,,,,,,,,ECB_03910,+,ECB_RS20805,,[4229634:4231215](+),ECB_03910,SopA family protein,frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology.,4229634,4231215,253,1328,1328,1581
1115,GCQD-998,yliE,inner membrane protein,C6UDZ6,CHROMOSOME-1,865783,867879,,,,,UNCLASSIFIED,,,,ECB_00800,+,ECB_RS04265,,[865530:867879](+),ECB_00800,EAL domain-containing protein,internal stop; Derived by automated computational analysis using gene prediction method: Protein Homology.,865530,867879,253,2096,2096,2349
98,GCQD-2198,ECB_01990,orf,C6UKN7,CHROMOSOME-1,2102770,2103081,,,,,,,,,ECB_01990,+,ECB_RS23810,,[2102710:2102893](+),,hypothetical protein,Derived by automated computational analysis using gene prediction method: Protein Homology.,2102710,2102893,248,123,311,183
595,GCQD-1039,ECB_00841,orf,C6UE37,CHROMOSOME-1,897784,898605,,,,,,,,,ECB_00841,+,ECB_RS04450,,[898026:898605](+),,phage baseplate assembly protein V,Derived by automated computational analysis using gene prediction method: Protein Homology.,898026,898605,242,579,821,579
176,GCQD-1558,tynA,"tyramine oxidase, copper-requiring",C6UH28,CHROMOSOME-1,1442401,1440683,,,,,UNCLASSIFIED,,,,ECB_01358,-,ECB_RS07215,tynA,[1440682:>1442635](-),ECB_01358,primary-amine oxidase,incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,1442635,1440682,235,1718,1718,1953
1917,GCQD-3047,ECB_02822,bifunctional Ribulose 5-phosphate reductase/CDP-ribitol pyrophosphorylase,C6UDL9,CHROMOSOME-1,3023722,3023258,,,,,UNCLASSIFIED,,,,ECB_02822,-,ECB_RS14915,,[3023257:>3023944](-),,SDR family oxidoreductase,incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,3023944,3023257,223,464,464,687
96,GCQD-2112,insD,insertion element IS2 transposase InsD,C6UK21,CHROMOSOME-1,2006658,2005753,,,,,UNCLASSIFIED,,,,ECB_01904,-,ECB_RS10100,,[2005752:>2006870](-),ECB_01904,IS3-like element IS2 family transposase,frameshifted; incomplete; partial in the middle of a contig; missing N-terminus; Derived by automated computational analysis using gene prediction method: Protein Homology.,2006870,2005752,213,905,905,1118
